Nested Sampling Global Log-Evidence           :    0.256305510145014705E+04  +/-    0.116502235982610752E+00

Dim No.       Mean        Sigma
   1    0.918547922393610161E+00    0.586688538110045161E-03
   2    0.212973523665697286E+03    0.100460895316505088E+02
   3   -0.703749437105581510E+01    0.142505911149821785E+01
   4   -0.382805976075724486E+01    0.630966408362042541E+00
   5   -0.404465207266648363E+01    0.318113902852922903E+00
   6   -0.453354364185794356E+01    0.277367730968861581E+01
   7   -0.766977220310907448E+01    0.148253461500894512E+01
   8   -0.781365264620116129E+01    0.122706994536734504E+01
   9   -0.561465669755845909E+01    0.458364592094740508E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.918520143064178951E+00
   2    0.203689059142406393E+03
   3   -0.599565024997534568E+01
   4   -0.326853834059437087E+01
   5   -0.384715524054329983E+01
   6   -0.101865626048392954E+01
   7   -0.937484168722034639E+01
   8   -0.758249904123460361E+01
   9   -0.570962158458513436E+01

MAP Parameters
Dim No.        Parameter
   1    0.918520143064178951E+00
   2    0.203689059142406393E+03
   3   -0.599565024997534568E+01
   4   -0.326853834059437087E+01
   5   -0.384715524054329983E+01
   6   -0.101865626048392954E+01
   7   -0.937484168722034639E+01
   8   -0.758249904123460361E+01
   9   -0.570962158458513436E+01
